Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N
220,1628761.000000000000000,23,7977,Sideslope NE cool,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
221,49776.000000000000000,21,9312,Upper flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
222,10004.000000000000000,21,9317,Upper flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
223,12577.000000000000000,31,7238,Wet Flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
224,1134.000000000000000,50,7412,Water,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
225,10758.000000000000000,30,7925,Dry flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
226,98263.000000000000000,21,7239,Upper flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
227,1031.000000000000000,32,7926,Valley/toe slope,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
228,1577.000000000000000,32,7928,Valley/toe slope,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
229,1364.000000000000000,30,7928,Dry flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
230,1513.000000000000000,22,7926,Gentle slope,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
231,142988.000000000000000,31,9314,Wet Flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
232,61700.000000000000000,31,9183,Wet Flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies
233,1890.000000000000000,22,9112,Gentle slope,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
234,25661.000000000000000,22,7298,Gentle slope,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
235,1217589.000000000000000,24,7974,Sideslope SW warm,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
236,19149.000000000000000,32,7298,Valley/toe slope,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
237,17.000000000000000,30,9056,Dry flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests
238,1629.000000000000000,32,9112,Valley/toe slope,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
239,596.000000000000000,50,7238,Water,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
240,87699.000000000000000,31,7362,Wet Flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
241,6620.000000000000000,30,7292,Dry flat,Open Water,Open Water,Open Water
242,4497.000000000000000,30,7412,Dry flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
243,3237.000000000000000,21,7292,Upper flat,Open Water,Open Water,Open Water
244,4807.000000000000000,50,7421,Water,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
245,8927.000000000000000,32,7243,Valley/toe slope,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest
246,18372.000000000000000,23,7362,Sideslope NE cool,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
247,5.000000000000000,21,9056,Upper flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests
248,28916.000000000000000,39,7407,Pluvial flat,Laurentian Pine Barrens,Conifer,Jack Pine Forest
249,29753.000000000000000,39,9312,Pluvial flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
250,3173.000000000000000,50,7362,Water,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
251,27707.000000000000000,39,7395,Pluvial flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
252,1447716.000000000000000,23,7974,Sideslope NE cool,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
253,23476.000000000000000,39,7238,Pluvial flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
254,116336.000000000000000,31,9315,Wet Flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
255,570321.000000000000000,24,9817,Sideslope SW warm,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
256,14275.000000000000000,31,9317,Wet Flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
257,3276.000000000000000,39,9183,Pluvial flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies
258,173.000000000000000,50,9112,Water,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
259,30805.000000000000000,30,9179,Dry flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
260,1409.000000000000000,30,7926,Dry flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
261,12876.000000000000000,23,7302,Sideslope NE cool,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
262,320450.000000000000000,23,9315,Sideslope NE cool,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
263,43523.000000000000000,21,7978,Upper flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
264,34576.000000000000000,31,7239,Wet Flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
265,3761.000000000000000,31,7927,Wet Flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
266,2198.000000000000000,31,7297,Wet Flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
267,1885.000000000000000,32,9180,Valley/toe slope,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
268,1644.000000000000000,30,9112,Dry flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
269,16419.000000000000000,30,9318,Dry flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
270,3648.000000000000000,50,7297,Water,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
271,2946.000000000000000,50,7929,Water,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
272,11287.000000000000000,32,7927,Valley/toe slope,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
273,7849.000000000000000,50,7299,Water,Developed-Roads,Developed-Roads,Developed-Roads
274,4524.000000000000000,39,9120,Pluvial flat,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow
275,29543.000000000000000,30,7978,Dry flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
276,7343.000000000000000,50,9679,Water,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests
277,1910.000000000000000,50,9317,Water,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
278,920.000000000000000,50,7908,Water,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
279,10591.000000000000000,32,7907,Valley/toe slope,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
280,2116.000000000000000,50,7298,Water,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
281,3858.000000000000000,50,7296,Water,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
282,1776.000000000000000,22,7909,Gentle slope,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
283,1948.000000000000000,50,7925,Water,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
284,432.000000000000000,50,7926,Water,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
285,2015.000000000000000,39,9679,Pluvial flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests
286,3927.000000000000000,39,7906,Pluvial flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
287,984.000000000000000,30,9183,Dry flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies
288,15479.000000000000000,21,9179,Upper flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
289,2408.000000000000000,22,7928,Gentle slope,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
290,1216.000000000000000,50,7927,Water,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
291,15397.000000000000000,32,9179,Valley/toe slope,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
292,596.000000000000000,31,7298,Wet Flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
293,634.000000000000000,31,7906,Wet Flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
294,279.000000000000000,31,7928,Wet Flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
295,497714.000000000000000,24,7314,Sideslope SW warm,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
296,491.000000000000000,50,7907,Water,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
297,690.000000000000000,50,7905,Water,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
298,216.000000000000000,50,7928,Water,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
299,47363.000000000000000,39,9314,Pluvial flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
300,1234.000000000000000,32,7909,Valley/toe slope,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
301,41060.000000000000000,24,7905,Sideslope SW warm,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
302,11583.000000000000000,22,7907,Gentle slope,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
303,1434.000000000000000,23,7906,Sideslope NE cool,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
304,16926.000000000000000,23,7908,Sideslope NE cool,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
305,621.000000000000000,31,7926,Wet Flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
306,981.000000000000000,24,7906,Sideslope SW warm,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
307,30766.000000000000000,24,7908,Sideslope SW warm,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
308,329005.000000000000000,24,7299,Sideslope SW warm,Developed-Roads,Developed-Roads,Developed-Roads
309,43419.000000000000000,23,7296,Sideslope NE cool,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
310,54339.000000000000000,23,7905,Sideslope NE cool,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
311,140.000000000000000,31,7909,Wet Flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
312,63.000000000000000,50,7906,Water,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
313,4239.000000000000000,24,7292,Sideslope SW warm,Open Water,Open Water,Open Water
314,12524.000000000000000,30,7242,Dry flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest
315,4087.000000000000000,31,7243,Wet Flat,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest
316,14503.000000000000000,30,7243,Dry flat,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest
317,45958.000000000000000,24,7296,Sideslope SW warm,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
318,27477.000000000000000,23,7925,Sideslope NE cool,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
319,48134.000000000000000,24,7929,Sideslope SW warm,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
320,448.000000000000000,23,7926,Sideslope NE cool,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
321,14351.000000000000000,23,7297,Sideslope NE cool,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
322,2396.000000000000000,32,9314,Valley/toe slope,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
323,2499.000000000000000,32,9318,Valley/toe slope,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
324,13240.000000000000000,32,7395,Valley/toe slope,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
325,16049.000000000000000,22,7238,Gentle slope,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
326,20227.000000000000000,24,7925,Sideslope SW warm,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
327,10464.000000000000000,23,7238,Sideslope NE cool,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
328,10873.000000000000000,24,7362,Sideslope SW warm,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
329,18005.000000000000000,24,9317,Sideslope SW warm,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
330,949.000000000000000,22,9179,Gentle slope,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
331,6384.000000000000000,21,9314,Upper flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
332,15831.000000000000000,21,9178,Upper flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
333,145.000000000000000,32,9183,Valley/toe slope,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies
334,632.000000000000000,21,9183,Upper flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies
335,32958.000000000000000,23,7239,Sideslope NE cool,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
336,2911.000000000000000,24,9179,Sideslope SW warm,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
337,22496.000000000000000,24,7239,Sideslope SW warm,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
338,31604.000000000000000,24,9312,Sideslope SW warm,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
339,22003.000000000000000,31,9677,Wet Flat,North-Central Interior and Appalachian Acidic Peatland Shrubland,Riparian,Atlantic Swamp Forests
340,305753.000000000000000,23,7975,Sideslope NE cool,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
341,30112.000000000000000,23,7929,Sideslope NE cool,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
342,1666.000000000000000,32,9683,Valley/toe slope,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
343,21512.000000000000000,31,7488,Wet Flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
344,42.000000000000000,50,7909,Water,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
345,8817.000000000000000,39,7488,Pluvial flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
346,11610.000000000000000,50,7488,Water,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
347,7172.000000000000000,23,7907,Sideslope NE cool,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
348,13416.000000000000000,22,7927,Gentle slope,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
349,4849.000000000000000,50,9314,Water,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
350,578.000000000000000,23,7909,Sideslope NE cool,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
351,7256.000000000000000,23,7927,Sideslope NE cool,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
352,10601.000000000000000,23,7421,Sideslope NE cool,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
353,9493.000000000000000,23,7973,Sideslope NE cool,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
354,32813.000000000000000,21,7238,Upper flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
355,2107.000000000000000,31,7290,Wet Flat,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna
356,1868.000000000000000,32,9178,Valley/toe slope,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
357,363998.000000000000000,24,9315,Sideslope SW warm,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
358,20705.000000000000000,31,7395,Wet Flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
359,3920.000000000000000,31,9682,Wet Flat,North-Central Interior Graminoid Alkaline Fen,Riparian,Inland Marshes and Prairies
360,2007.000000000000000,30,7488,Dry flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
361,309969.000000000000000,24,7975,Sideslope SW warm,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
362,887.000000000000000,21,7488,Upper flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
363,902.000000000000000,50,7239,Water,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
364,2647.000000000000000,30,7295,Dry flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
365,1587.000000000000000,39,7295,Pluvial flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
366,4671.000000000000000,21,7295,Upper flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
367,294.000000000000000,31,7295,Wet Flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
368,5762.000000000000000,22,7295,Gentle slope,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
369,3319.000000000000000,32,7295,Valley/toe slope,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
370,41492.000000000000000,23,9312,Sideslope NE cool,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
371,6098.000000000000000,23,7395,Sideslope NE cool,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
372,289.000000000000000,22,9178,Gentle slope,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
373,3524.000000000000000,23,7295,Sideslope NE cool,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
374,42340.000000000000000,32,7978,Valley/toe slope,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
375,15040.000000000000000,24,7421,Sideslope SW warm,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
376,28272.000000000000000,21,7395,Upper flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
377,6237.000000000000000,30,9683,Dry flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
378,53.000000000000000,22,9177,Gentle slope,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
379,2840.000000000000000,39,7290,Pluvial flat,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna
380,3338.000000000000000,24,7295,Sideslope SW warm,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
381,1270.000000000000000,23,7242,Sideslope NE cool,Laurentian Oak Barrens,Hardwood,Jack Pine Forest
382,13237.000000000000000,39,7242,Pluvial flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest
383,12885.000000000000000,31,9312,Wet Flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
384,1199.000000000000000,23,7292,Sideslope NE cool,Open Water,Open Water,Open Water
385,2555.000000000000000,23,7298,Sideslope NE cool,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
386,174.000000000000000,22,9180,Gentle slope,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
387,5496.000000000000000,24,7927,Sideslope SW warm,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
388,14962.000000000000000,21,7242,Upper flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest
389,29084.000000000000000,21,7407,Upper flat,Laurentian Pine Barrens,Conifer,Jack Pine Forest
390,6987.000000000000000,32,7242,Valley/toe slope,Laurentian Oak Barrens,Hardwood,Jack Pine Forest
391,22725.000000000000000,30,7395,Dry flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
392,15125.000000000000000,24,7297,Sideslope SW warm,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
393,15295.000000000000000,39,7243,Pluvial flat,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest
394,374.000000000000000,39,7976,Pluvial flat,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland
395,13522.000000000000000,23,7978,Sideslope NE cool,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
396,1059.000000000000000,32,7488,Valley/toe slope,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
397,6179.000000000000000,24,7395,Sideslope SW warm,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
398,93882.000000000000000,11,7310,Flat summit/ridge,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
399,443400.000000000000000,13,7310,Slope crest,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
400,17501.000000000000000,23,9317,Sideslope NE cool,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
401,298.000000000000000,24,7926,Sideslope SW warm,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
402,49.000000000000000,22,7481,Gentle slope,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests
403,489.000000000000000,50,7395,Water,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
404,211.000000000000000,24,9314,Sideslope SW warm,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
405,128.000000000000000,24,9318,Sideslope SW warm,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
406,10052.000000000000000,24,7238,Sideslope SW warm,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
407,788.000000000000000,24,9112,Sideslope SW warm,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
408,105.000000000000000,22,7488,Gentle slope,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
409,697.000000000000000,23,9112,Sideslope NE cool,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
410,778.000000000000000,50,9312,Water,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
411,64.000000000000000,22,9683,Gentle slope,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
412,212133.000000000000000,44,7310,Cove: SW warm,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
413,124.000000000000000,32,7394,Valley/toe slope,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
414,7197.000000000000000,24,7907,Sideslope SW warm,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
415,157.000000000000000,22,7394,Gentle slope,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
416,91.000000000000000,21,7394,Upper flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
417,49.000000000000000,39,7394,Pluvial flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
418,336.000000000000000,21,9679,Upper flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests
419,85.000000000000000,30,7394,Dry flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
420,324.000000000000000,23,9179,Sideslope NE cool,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
421,1825.000000000000000,23,7243,Sideslope NE cool,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest
422,6498.000000000000000,22,7243,Gentle slope,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest
423,28.000000000000000,31,7394,Wet Flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
424,40962.000000000000000,13,7314,Slope crest,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
425,3.000000000000000,50,7394,Water,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna
426,109021.000000000000000,41,7310,Flat at bottom of steep slope,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
427,7205.000000000000000,11,7314,Flat summit/ridge,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
428,14302.000000000000000,11,7977,Flat summit/ridge,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
429,10315.000000000000000,24,7973,Sideslope SW warm,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
430,763.000000000000000,23,7412,Sideslope NE cool,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
431,31736.000000000000000,4,7314,Steep slope: SW warm,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
432,520.000000000000000,41,7292,Flat at bottom of steep slope,Open Water,Open Water,Open Water
433,178287.000000000000000,4,7310,Steep slope: SW warm,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
434,207384.000000000000000,43,7310,Cove: NE cool,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
435,406.000000000000000,24,7488,Sideslope SW warm,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland
