Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N,in_y_n
234,25661,22,7298,Gentle slope,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
235,1217589,24,7974,Sideslope SW warm,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
236,19149,32,7298,Valley/toe slope,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
237,17,30,9056,Dry flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,0
238,1629,32,9112,Valley/toe slope,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
239,596,50,7238,Water,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,0
240,87699,31,7362,Wet Flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
241,6620,30,7292,Dry flat,Open Water,Open Water,Open Water,0
242,4497,30,7412,Dry flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
243,3237,21,7292,Upper flat,Open Water,Open Water,Open Water,0
244,4807,50,7421,Water,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
245,8927,32,7243,Valley/toe slope,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest,0
246,18372,23,7362,Sideslope NE cool,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
247,5,21,9056,Upper flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,0
248,28916,39,7407,Pluvial flat,Laurentian Pine Barrens,Conifer,Jack Pine Forest,0
249,29753,39,9312,Pluvial flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
250,3173,50,7362,Water,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
251,27707,39,7395,Pluvial flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,0
252,1447716,23,7974,Sideslope NE cool,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
253,23476,39,7238,Pluvial flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,0
254,116336,31,9315,Wet Flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
255,570321,24,9817,Sideslope SW warm,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
256,14275,31,9317,Wet Flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
257,3276,39,9183,Pluvial flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
258,173,50,9112,Water,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
259,30805,30,9179,Dry flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
260,1409,30,7926,Dry flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
261,12876,23,7302,Sideslope NE cool,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
262,320450,23,9315,Sideslope NE cool,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
263,43523,21,7978,Upper flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
264,34576,31,7239,Wet Flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,0
265,3761,31,7927,Wet Flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
266,2198,31,7297,Wet Flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
267,1885,32,9180,Valley/toe slope,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
268,1644,30,9112,Dry flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
269,16419,30,9318,Dry flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
270,3648,50,7297,Water,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
271,2946,50,7929,Water,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
272,11287,32,7927,Valley/toe slope,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
273,7849,50,7299,Water,Developed-Roads,Developed-Roads,Developed-Roads,0
274,4524,39,9120,Pluvial flat,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow,0
275,29543,30,7978,Dry flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
276,7343,50,9679,Water,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
277,1910,50,9317,Water,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
278,920,50,7908,Water,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
279,10591,32,7907,Valley/toe slope,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
280,2116,50,7298,Water,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
281,3858,50,7296,Water,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
282,1776,22,7909,Gentle slope,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
283,1948,50,7925,Water,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
284,432,50,7926,Water,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
285,2015,39,9679,Pluvial flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
286,3927,39,7906,Pluvial flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
287,984,30,9183,Dry flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
288,15479,21,9179,Upper flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
289,2408,22,7928,Gentle slope,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
290,1216,50,7927,Water,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
291,15397,32,9179,Valley/toe slope,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
292,596,31,7298,Wet Flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
293,634,31,7906,Wet Flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
294,279,31,7928,Wet Flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
295,497714,24,7314,Sideslope SW warm,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
296,491,50,7907,Water,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
297,690,50,7905,Water,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
298,216,50,7928,Water,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
299,47363,39,9314,Pluvial flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
300,1234,32,7909,Valley/toe slope,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
301,41060,24,7905,Sideslope SW warm,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
302,11583,22,7907,Gentle slope,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
303,1434,23,7906,Sideslope NE cool,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
304,16926,23,7908,Sideslope NE cool,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
305,621,31,7926,Wet Flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
306,981,24,7906,Sideslope SW warm,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
307,30766,24,7908,Sideslope SW warm,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
308,329005,24,7299,Sideslope SW warm,Developed-Roads,Developed-Roads,Developed-Roads,0
309,43419,23,7296,Sideslope NE cool,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
310,54339,23,7905,Sideslope NE cool,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
311,140,31,7909,Wet Flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
312,63,50,7906,Water,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
313,4239,24,7292,Sideslope SW warm,Open Water,Open Water,Open Water,0
314,12524,30,7242,Dry flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest,1
315,4087,31,7243,Wet Flat,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest,0
316,14503,30,7243,Dry flat,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest,1
317,45958,24,7296,Sideslope SW warm,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
318,27477,23,7925,Sideslope NE cool,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
319,48134,24,7929,Sideslope SW warm,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
320,448,23,7926,Sideslope NE cool,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
321,14351,23,7297,Sideslope NE cool,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
322,2396,32,9314,Valley/toe slope,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
323,2499,32,9318,Valley/toe slope,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
324,13240,32,7395,Valley/toe slope,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,0
325,16049,22,7238,Gentle slope,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,1
326,20227,24,7925,Sideslope SW warm,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
327,10464,23,7238,Sideslope NE cool,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,0
328,10873,24,7362,Sideslope SW warm,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
329,18005,24,9317,Sideslope SW warm,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
330,949,22,9179,Gentle slope,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
331,6384,21,9314,Upper flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
332,15831,21,9178,Upper flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
333,145,32,9183,Valley/toe slope,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
334,632,21,9183,Upper flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
335,32958,23,7239,Sideslope NE cool,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,0
336,2911,24,9179,Sideslope SW warm,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
337,22496,24,7239,Sideslope SW warm,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
338,31604,24,9312,Sideslope SW warm,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
339,22003,31,9677,Wet Flat,North-Central Interior and Appalachian Acidic Peatland Shrubland,Riparian,Atlantic Swamp Forests,0
340,305753,23,7975,Sideslope NE cool,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
341,30112,23,7929,Sideslope NE cool,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
342,1666,32,9683,Valley/toe slope,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
343,21512,31,7488,Wet Flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
344,42,50,7909,Water,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
345,8817,39,7488,Pluvial flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
346,11610,50,7488,Water,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
347,7172,23,7907,Sideslope NE cool,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
348,13416,22,7927,Gentle slope,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
349,4849,50,9314,Water,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
350,578,23,7909,Sideslope NE cool,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
351,7256,23,7927,Sideslope NE cool,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
352,10601,23,7421,Sideslope NE cool,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
353,9493,23,7973,Sideslope NE cool,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
354,32813,21,7238,Upper flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,1
355,2107,31,7290,Wet Flat,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,0
356,1868,32,9178,Valley/toe slope,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
357,363998,24,9315,Sideslope SW warm,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
358,20705,31,7395,Wet Flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,0
359,3920,31,9682,Wet Flat,North-Central Interior Graminoid Alkaline Fen,Riparian,Inland Marshes and Prairies,0
360,2007,30,7488,Dry flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
361,309969,24,7975,Sideslope SW warm,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
362,887,21,7488,Upper flat,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
363,902,50,7239,Water,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,0
364,2647,30,7295,Dry flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
365,1587,39,7295,Pluvial flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
366,4671,21,7295,Upper flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
367,294,31,7295,Wet Flat,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
368,5762,22,7295,Gentle slope,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
369,3319,32,7295,Valley/toe slope,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
370,41492,23,9312,Sideslope NE cool,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
371,6098,23,7395,Sideslope NE cool,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,0
372,289,22,9178,Gentle slope,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
373,3524,23,7295,Sideslope NE cool,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
374,42340,32,7978,Valley/toe slope,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
375,15040,24,7421,Sideslope SW warm,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
376,28272,21,7395,Upper flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,1
377,6237,30,9683,Dry flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
378,53,22,9177,Gentle slope,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
379,2840,39,7290,Pluvial flat,North-Central Oak Barrens Herbaceous,Grassland,Black Oak Woodland and Savanna,0
380,3338,24,7295,Sideslope SW warm,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
381,1270,23,7242,Sideslope NE cool,Laurentian Oak Barrens,Hardwood,Jack Pine Forest,0
382,13237,39,7242,Pluvial flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest,0
383,12885,31,9312,Wet Flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
384,1199,23,7292,Sideslope NE cool,Open Water,Open Water,Open Water,0
385,2555,23,7298,Sideslope NE cool,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
386,174,22,9180,Gentle slope,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
387,5496,24,7927,Sideslope SW warm,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
388,14962,21,7242,Upper flat,Laurentian Oak Barrens,Hardwood,Jack Pine Forest,1
389,29084,21,7407,Upper flat,Laurentian Pine Barrens,Conifer,Jack Pine Forest,0
390,6987,32,7242,Valley/toe slope,Laurentian Oak Barrens,Hardwood,Jack Pine Forest,0
391,22725,30,7395,Dry flat,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,1
392,15125,24,7297,Sideslope SW warm,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
393,15295,39,7243,Pluvial flat,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest,0
394,374,39,7976,Pluvial flat,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland,0
395,13522,23,7978,Sideslope NE cool,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
396,1059,32,7488,Valley/toe slope,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
397,6179,24,7395,Sideslope SW warm,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,1
398,93882,11,7310,Flat summit/ridge,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
399,443400,13,7310,Slope crest,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
400,17501,23,9317,Sideslope NE cool,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
401,298,24,7926,Sideslope SW warm,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
402,49,22,7481,Gentle slope,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
403,489,50,7395,Water,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,0
404,211,24,9314,Sideslope SW warm,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
405,128,24,9318,Sideslope SW warm,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
406,10052,24,7238,Sideslope SW warm,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,1
407,788,24,9112,Sideslope SW warm,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
408,105,22,7488,Gentle slope,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
409,697,23,9112,Sideslope NE cool,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
410,778,50,9312,Water,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
411,64,22,9683,Gentle slope,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
412,212133,44,7310,Cove: SW warm,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
413,124,32,7394,Valley/toe slope,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,0
414,7197,24,7907,Sideslope SW warm,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
415,157,22,7394,Gentle slope,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,1
416,91,21,7394,Upper flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,1
417,49,39,7394,Pluvial flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,0
418,336,21,9679,Upper flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
419,85,30,7394,Dry flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,1
420,324,23,9179,Sideslope NE cool,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
421,1825,23,7243,Sideslope NE cool,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest,0
422,6498,22,7243,Gentle slope,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Jack Pine Forest,1
423,28,31,7394,Wet Flat,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,0
424,40962,13,7314,Slope crest,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
425,3,50,7394,Water,North-Central Interior Oak Savanna,Hardwood,Bur Oak Woodland and Savanna,0
426,109021,41,7310,Flat at bottom of steep slope,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
427,7205,11,7314,Flat summit/ridge,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
428,14302,11,7977,Flat summit/ridge,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
429,10315,24,7973,Sideslope SW warm,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
430,763,23,7412,Sideslope NE cool,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
431,31736,4,7314,Steep slope: SW warm,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
432,520,41,7292,Flat at bottom of steep slope,Open Water,Open Water,Open Water,0
433,178287,4,7310,Steep slope: SW warm,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
434,207384,43,7310,Cove: NE cool,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
435,406,24,7488,Sideslope SW warm,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
436,59,44,7362,Cove: SW warm,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
437,84940,3,7314,Steep slope: NE cool,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
438,167,3,7239,Steep slope: NE cool,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,0
439,93,23,7488,Sideslope NE cool,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,0
440,46048,44,7314,Cove: SW warm,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
441,126,4,7239,Steep slope: SW warm,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
442,95,41,7362,Flat at bottom of steep slope,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
443,4138,43,9315,Cove: NE cool,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
444,143,43,7362,Cove: NE cool,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
445,274140,3,7310,Steep slope: NE cool,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
446,88717,43,7314,Cove: NE cool,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
447,1435,13,7239,Slope crest,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
448,214,24,9683,Sideslope SW warm,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
449,717,13,7296,Slope crest,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
450,1274,13,7905,Slope crest,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
451,769,13,7925,Slope crest,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
452,475,43,7292,Cove: NE cool,Open Water,Open Water,Open Water,0
453,221,11,7925,Flat summit/ridge,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
454,432,11,7905,Flat summit/ridge,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
455,840,24,7412,Sideslope SW warm,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
456,362,11,7296,Flat summit/ridge,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
457,6877,32,7407,Valley/toe slope,Laurentian Pine Barrens,Conifer,Jack Pine Forest,0
458,27623,4,7311,Steep slope: SW warm,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
459,7416,3,7311,Steep slope: NE cool,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
460,19258,44,7311,Cove: SW warm,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
461,6669,4,7977,Steep slope: SW warm,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
462,44172,41,7314,Flat at bottom of steep slope,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
